BATHRM,HF_BATHRM,AC,BEDRM,STORIES,PRICE,CNDTN,LANDAREA,FULLADDRESS,ASSESSMENT_NBHD,WARD,QUADRANT
2,1,Y,3,2,579000,Very Good,2550,5515 CHILLUM PLACE NE,Riggs Park,Ward 4,NE
1,1,Y,3,2,360000,Average,2775,321 ONEIDA STREET NE,Riggs Park,Ward 4,NE
1,1,Y,3,2,430000,Average,2775,325 ONEIDA STREET NE,Riggs Park,Ward 4,NE
2,1,Y,4,2,600000,Very Good,2970,5117 12TH STREET NE,Riggs Park,Ward 5,NE
2,1,Y,3,2,581000,Good,2264,5129 12TH STREET NE,Riggs Park,Ward 5,NE
2,1,Y,3,2,360000,Average,3000,807 DELAFIELD STREET NE,Brookland,Ward 5,NE
3,1,Y,3,2,565000,Very Good,2794,661 JEFFERSON STREET NE,Riggs Park,Ward 5,NE
3,0,Y,3,2,564950,Good,2434,4914 12TH STREET NE,Riggs Park,Ward 5,NE
2,1,Y,3,2,605000,Very Good,1778,4413 13TH STREET NE,Brookland,Ward 5,NE
1,1,N,3,2,600000,Average,2925,4423 13TH STREET NE,Brookland,Ward 5,NE
3,1,Y,3,2,632500,Good,2100,1347 WEBSTER STREET NE,Brookland,Ward 5,NE
1,0,N,2,1,360000,Average,2775,3315 14TH STREET NE,Brookland,Ward 5,NE
2,0,N,2,2,580000,Good,1652,1424 KEARNY STREET NE,Brookland,Ward 5,NE
2,0,Y,4,2,508100,Good,1800,4719 12TH STREET NE,Brookland,Ward 5,NE
2,0,Y,3,2,493000,Average,3201,4505 6TH PLACE NE,Brookland,Ward 5,NE
3,1,Y,4,3,322770,Very Good,4018,1010 IRVING STREET NE,Brookland,Ward 5,NE
3,0,Y,5,2,1135000,Average,7500,1262 LAWRENCE STREET NE,Brookland,Ward 5,NE
2,0,N,3,2,470000,Average,3750,1265 MONROE STREET NE,Brookland,Ward 5,NE
1,1,Y,3,2,385000,Average,3070,730 CRITTENDEN STREET NE,Brookland,Ward 5,NE
4,1,Y,5,2,850000,Very Good,6100,1409 LAWRENCE STREET NE,Brookland,Ward 5,NE
3,0,Y,3,2,649900,Good,2273,1226 RHODE ISLAND AVENUE NE,Brookland,Ward 5,NE
2,0,Y,5,2,610000,Good,4625,1223 EVARTS STREET NE,Brookland,Ward 5,NE
2,0,Y,3,2,497500,Good,2330,4957 12TH STREET NE,Riggs Park,Ward 5,NE
3,0,Y,3,2,567000,Very Good,1992,1225 FARADAY PLACE NE,Riggs Park,Ward 5,NE
2,0,Y,3,2,795000,Good,7500,1310 MONROE STREET NE,Brookland,Ward 5,NE
2,1,Y,3,2,412000,Good,3165,1530 GALLATIN PLACE NE,Riggs Park,Ward 5,NE
1,0,N,2,1,428940,Average,5164,1322 HAMLIN STREET NE,Brookland,Ward 5,NE
2,0,Y,2,2,290000,Very Good,1655,743 FARADAY PLACE NE,Brookland,Ward 5,NE
2,2,Y,3,2,490000,Average,3014,4711 SARGENT ROAD NE,Riggs Park,Ward 5,NE
2,0,Y,3,2,600000,Very Good,2391,4822 10TH STREET NE,Brookland,Ward 5,NE
2,1,Y,3,2,675000,Good,2453,3814 12TH STREET NE,Brookland,Ward 5,NE
2,0,Y,3,2,499000,Very Good,1655,732 EMERSON STREET NE,Brookland,Ward 5,NE
1,0,Y,3,2,520591,Very Good,1642,644 EMERSON STREET NE,Brookland,Ward 5,NE
3,0,Y,4,1,752500,Very Good,4920,821 DECATUR STREET NE,Brookland,Ward 5,NE
2,2,Y,5,2,602000,Average,3824,1501 GALLATIN STREET NE,Riggs Park,Ward 5,NE
2,1,N,4,2,450000,Average,1337,2905 12TH STREET NE,Brookland,Ward 5,NE
1,1,Y,3,2,480000,Good,1898,715 DELAFIELD STREET NE,Brookland,Ward 5,NE
1,1,Y,3,2,500000,Good,1898,727 DELAFIELD STREET NE,Brookland,Ward 5,NE
1,0,Y,3,2,525500,Average,8460,1265 HAMLIN STREET NE,Brookland,Ward 5,NE
5,1,Y,5,2,970000,Good,4500,2800 13TH STREET NE,Brookland,Ward 5,NE
2,1,Y,3,2,524000,Very Good,2172,1258 FARRAGUT PLACE NE,Riggs Park,Ward 5,NE
2,1,Y,3,1,689000,Good,5265,1009 TAYLOR STREET NE,Brookland,Ward 5,NE
1,1,Y,2,2,400000,Good,1655,612 EMERSON STREET NE,Brookland,Ward 5,NE
2,1,Y,3,2,608000,Very Good,3180,4822 SARGENT ROAD NE,Riggs Park,Ward 5,NE
1,1,Y,3,2,345000,Good,1708,5001 13TH PLACE NE,Riggs Park,Ward 5,NE
1,1,N,3,2,380000,Average,1818,5003 13TH PLACE NE,Riggs Park,Ward 5,NE
1,1,N,4,2,429000,Average,5769,1027 IRVING STREET NE,Brookland,Ward 5,NE
1,1,N,2,2,605000,Good,1926,1314 RANDOLPH STREET NE,Brookland,Ward 5,NE
2,1,Y,3,2,570000,Very Good,2125,1239 EMERSON STREET NE,Riggs Park,Ward 5,NE
2,0,Y,3,2,537500,Very Good,2925,4921 11TH STREET NE,Riggs Park,Ward 5,NE
1,1,Y,3,2,399900,Average,1898,712 DECATUR STREET NE,Brookland,Ward 5,NE
3,1,Y,3,2,560000,Good,1984,4718 10TH STREET NE,Brookland,Ward 5,NE
2,1,Y,3,2,530000,Good,1444,1203 QUEEN STREET NE,Trinidad,Ward 5,NE
2,1,Y,4,2,390000,Average,1590,1434 MONTELLO AVENUE NE,Trinidad,Ward 5,NE
3,1,Y,4,2,685000,Very Good,1530,1414 MONTELLO AVENUE NE,Trinidad,Ward 5,NE
2,2,Y,3,2,751000,Very Good,2577,1132 NEAL STREET NE,Trinidad,Ward 5,NE
3,1,Y,4,2,480000,Very Good,5180,1347 FRANKLIN STREET NE,Brookland,Ward 5,NE
3,1,Y,3,2,650000,Very Good,1020,1323 MONTELLO AVENUE NE,Trinidad,Ward 5,NE
3,1,Y,4,2,840000,Very Good,4160,4211 12TH PLACE NE,Brookland,Ward 5,NE
1,1,Y,3,2,341604,Good,1514,1828 PROVIDENCE STREET NE,Brentwood,Ward 5,NE
